Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,243.000000,247.000000,243.000000,247.000000,220.969650,23812131
2019-07-11,250.000000,250.000000,247.500000,250.000000,223.653519,31160289
2019-07-12,252.000000,252.000000,249.500000,250.500000,224.100845,23479432
2019-07-15,251.000000,254.500000,249.500000,254.500000,227.679230,29727300
2019-07-16,254.000000,256.500000,253.500000,256.000000,229.021194,21361249
2019-07-17,254.000000,254.000000,251.000000,252.000000,225.442749,25573648
2019-07-18,252.000000,254.500000,251.500000,254.000000,227.231979,20842575
2019-07-19,259.500000,261.000000,259.000000,259.000000,231.705063,59709798
2019-07-22,263.000000,264.000000,262.000000,264.000000,236.178101,31522639
2019-07-23,265.500000,266.500000,262.500000,264.000000,236.178101,29273223
2019-07-24,266.500000,266.500000,263.000000,265.000000,237.072723,23734039
2019-07-25,264.000000,265.000000,261.500000,265.000000,237.072723,30433545
2019-07-26,261.000000,262.500000,261.000000,261.000000,233.494293,20438071
2019-07-29,260.000000,262.000000,259.500000,261.000000,233.494293,17509320
2019-07-30,262.500000,263.000000,260.000000,260.000000,232.599655,22670612
2019-07-31,260.000000,260.000000,257.000000,259.500000,232.152328,31635601
2019-08-01,257.500000,257.500000,255.500000,256.500000,229.468506,30017526
2019-08-02,252.000000,253.500000,250.500000,251.500000,224.995438,54021644
2019-08-05,251.000000,252.000000,245.500000,246.500000,220.522385,51535721
2019-08-06,240.000000,250.000000,240.000000,248.500000,222.311584,58625879
2019-08-07,250.000000,250.500000,246.500000,248.000000,221.864273,29435460
2019-08-08,248.000000,254.000000,248.000000,253.500000,226.784622,29725266
2019-08-12,254.500000,254.500000,251.000000,251.000000,224.548126,21794603
2019-08-13,249.000000,249.500000,246.500000,246.500000,220.522385,23121107
2019-08-14,252.500000,254.000000,249.500000,249.500000,223.206177,35216703
2019-08-15,247.000000,248.500000,246.000000,248.000000,221.864273,27624412
2019-08-16,249.500000,252.000000,248.000000,250.000000,223.653519,25370715
2019-08-19,251.500000,253.000000,250.500000,252.000000,225.442749,24060514
2019-08-20,254.000000,254.500000,252.500000,254.500000,227.679230,19960494
2019-08-21,254.500000,255.000000,253.000000,254.500000,227.679230,20269296
2019-08-22,257.000000,257.500000,254.000000,254.000000,227.231979,21900840
2019-08-23,253.500000,254.500000,253.000000,254.000000,227.231979,14166877
2019-08-26,249.000000,250.500000,248.500000,248.500000,222.311584,31678620
2019-08-27,250.500000,251.000000,248.500000,250.000000,223.653519,50234951
2019-08-28,250.500000,253.000000,250.500000,252.000000,225.442749,15132882
2019-08-29,253.000000,254.000000,251.000000,254.000000,227.231979,19587767
2019-08-30,256.500000,259.000000,256.000000,259.000000,231.705063,35184201
2019-09-02,258.000000,258.000000,256.000000,257.500000,230.363159,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,227.231979,25762495
2019-09-04,254.000000,258.000000,254.000000,257.500000,230.363159,22540733
2019-09-05,263.000000,263.000000,260.500000,263.000000,235.283508,48791728
2019-09-06,265.000000,265.000000,263.000000,263.500000,235.730789,25408515
2019-09-10,263.500000,264.000000,260.500000,261.500000,233.941574,29308866
2019-09-11,264.000000,264.500000,260.500000,263.000000,235.283508,36196015
2019-09-12,265.000000,265.000000,261.500000,262.500000,234.836166,26017293
2019-09-16,262.000000,265.500000,261.500000,265.500000,237.520020,32573966
2019-09-17,266.500000,266.500000,264.500000,265.000000,237.072723,27600844
2019-09-18,267.000000,269.500000,266.500000,267.000000,238.861938,47684759
2019-09-19,268.000000,268.000000,264.000000,265.000000,238.861938,25233567
2019-09-20,266.000000,266.500000,264.000000,264.000000,237.960617,43868865
2019-09-23,264.000000,264.000000,263.000000,264.000000,237.960617,13093208
2019-09-24,263.500000,265.500000,262.000000,265.000000,238.861938,24244943
2019-09-25,262.500000,266.000000,262.000000,266.000000,239.763306,21003163
2019-09-26,269.000000,269.500000,266.500000,268.000000,241.566071,29940103
2019-09-27,271.500000,272.500000,271.000000,272.000000,245.171494,41235817
2019-10-01,273.000000,280.500000,273.000000,280.000000,252.382431,71743890
2019-10-02,280.000000,281.000000,279.000000,279.500000,251.931732,29295953
2019-10-03,274.000000,277.500000,274.000000,276.500000,249.227661,31890864
2019-10-04,279.500000,280.000000,275.000000,276.500000,249.227661,35169613
2019-10-07,279.000000,279.500000,277.500000,278.000000,250.579727,17510230
2019-10-08,283.500000,286.500000,282.500000,286.500000,258.241302,35278551
2019-10-09,283.500000,286.000000,282.000000,282.000000,254.185135,34777456
2019-10-14,291.500000,291.500000,288.500000,290.000000,261.396088,46683517
2019-10-15,293.500000,296.000000,292.000000,293.500000,264.550934,38018567
2019-10-16,298.000000,298.000000,293.500000,296.500000,267.255005,40297144
2019-10-17,295.000000,295.500000,292.000000,293.500000,264.550934,40271938
2019-10-18,293.000000,295.500000,291.000000,293.000000,264.100159,45102984
2019-10-21,291.000000,291.000000,288.500000,290.000000,261.396088,34634365
2019-10-22,292.500000,294.000000,291.500000,294.000000,265.001556,26005020
2019-10-23,293.500000,293.500000,290.500000,293.000000,264.100159,28675408
2019-10-24,294.500000,294.500000,291.000000,293.000000,264.100159,29040827
2019-10-25,294.500000,294.500000,292.500000,293.500000,264.550934,22682711
2019-10-28,295.000000,295.500000,294.000000,294.500000,265.452209,20076561
2019-10-29,297.000000,298.500000,296.500000,298.500000,269.057648,36682131
2019-10-30,298.500000,299.500000,296.500000,299.500000,269.959198,32370342
2019-10-31,300.000000,301.500000,298.500000,298.500000,269.057648,40944514
2019-11-01,299.500000,299.500000,296.500000,299.000000,269.508423,30121678
2019-11-04,302.500000,308.000000,301.000000,307.000000,276.719269,44899671
2019-11-05,307.500000,310.500000,307.000000,310.500000,279.874146,32201184
2019-11-06,309.000000,311.500000,308.000000,311.000000,280.324799,22149743
2019-11-07,310.000000,310.000000,306.500000,309.000000,278.522095,28291659
2019-11-08,308.500000,309.000000,305.500000,305.500000,275.367218,25651542
2019-11-11,305.000000,305.000000,300.000000,301.000000,271.311127,35165583
2019-11-12,302.500000,305.000000,302.000000,305.000000,274.916534,17540708
2019-11-13,303.000000,304.000000,301.500000,304.000000,274.015167,18172438
2019-11-14,304.500000,305.000000,302.000000,303.500000,273.564514,15734835
2019-11-15,305.500000,307.500000,304.500000,307.000000,276.719269,28848445
2019-11-18,308.500000,311.000000,307.000000,311.000000,280.324799,18691325
2019-11-19,312.500000,315.000000,311.000000,315.000000,283.930267,31634197
2019-11-20,314.000000,314.000000,312.000000,313.500000,282.578186,22387973
2019-11-21,309.500000,311.000000,307.000000,311.000000,280.324799,28108833
2019-11-22,310.000000,310.500000,308.000000,309.000000,278.522095,24737984
2019-11-25,310.500000,310.500000,307.000000,307.000000,276.719269,19530177
2019-11-26,310.000000,310.500000,307.000000,307.000000,276.719269,101224622
2019-11-27,307.500000,311.500000,307.500000,311.000000,280.324799,18467648
2019-11-28,310.000000,312.000000,308.500000,309.500000,278.972717,19077982
2019-11-29,309.000000,309.500000,305.000000,305.000000,274.916534,30963561
